,id,belongs_to_collection,original_budget,budget_processed,genre_rank,num_genres,has_homepage,originally_english,topStudio,numTopStudios,num_studios,studioRank,num_production_countries,topCountry,countryRank,usa_produced,1960s,1970s,1980s,1990s,2000s,2010s,mondayRelease,tuesdayRelease,wednesdayRelease,thursdayRelease,fridayRelease,saturdayRelease,sundayRelease,Winter,Fall,Spring,Summer,runtime_processed,spoken_english,num_languages,has_tagline,num_keywords,numTopKeywords,keywordRank,cast_num,topLeadActor,numTopActors,actorRanks,topActorRank,crew_num,topLeadDirector,numTopDirectors,directorsRank,topLeadExecProd,numTopExecProd,execProdRank,topLeadProducer,numTopProducers,producersRank,topLeadComposer,numTopComposers,composersRank,topLeadDirectorPhoto,numTopDirectorsPhoto,directorsPhotoRank,topLeadEditor,numTopEditors,editorsRank,budget_to_year_ratio,runtime_to_year_ratio,inflationBudget,popularity,popularity_year_ratio,log_revenue,revenue
0,0,1,14000000,14000000.0,10.0,1,0,1,0,0,3,452.6666666666667,1,1,3.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,93.0,1,1,1,4,3,0.75,24.0,0,0,949.9583333333334,337,71.0,0,0,126.33333333333333,0,0,150.0,0,0,360.6666666666667,0,1,27.0,0,0,303.0,0,0,113.5,3.448084773627077,0.046153846153846156,16268000.0,6.575393,0.3289796318972674,16.326300330915824,12314651.0
1,0,1,40000000,40000000.0,10.5,4,0,1,1,1,1,62.0,1,1,3.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,113.0,1,1,1,4,1,0.75,20.0,0,0,567.8,125,9.0,0,0,130.0,0,0,606.0,0,0,459.75,0,1,36.0,0,0,117.0,0,0,326.0,9.960119680798085,0.056387225548902194,54400000.0,8.248895,0.3826828047129389,18.370959224205944,95149435.0
2,0,0,3300000,3300000.0,5.0,1,1,1,0,0,3,659.0,1,1,3.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,105.0,1,1,1,12,3,0.75,50.0,0,0,337.88,214,64.0,0,0,189.5,0,0,275.75,0,0,465.38461538461536,0,0,81.0,0,0,293.0,0,0,17.571428571428573,0.8135701529216044,0.052135054617676264,3894000.0,64.29999,2.664506674129686,16.38751199098573,13092000.0
3,0,0,1200000,1200000.0,6.5,2,1,0,0,0,0,400.0,1,0,15.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,122.0,1,2,0,7,2,2.4285714285714284,7.0,0,0,822.1428571428571,337,3.0,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,0.2964321427301005,0.06063618290258449,1459200.0,3.174936,0.16603945370721288,16.588099342704055,16000000.0
4,0,0,0,12000000.0,11.0,2,0,0,0,0,0,400.0,1,0,22.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,118.0,0,1,0,0,0,400.0,4.0,0,0,1946.75,337,2.0,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,2.973181162617896,0.0587356893977103,0.0,1.14807,0.05711008004648635,15.18261470922214,3923970.0
5,0,0,8000000,8000000.0,18.0,3,0,1,0,0,0,400.0,0,0,100.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,83.0,1,1,0,0,0,400.0,4.0,0,0,662.75,337,9.0,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,2.0262557149909237,0.04177151484650227,13328000.0,0.743274,0.04946934642016209,14.997740387737252,3261638.0
6,0,0,14000000,14000000.0,7.5,2,1,1,0,0,2,210.5,2,1,6.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,92.0,1,1,1,0,0,400.0,14.0,0,0,1088.142857142857,337,75.0,0,0,189.5,0,0,239.4,0,0,784.4,0,0,81.0,0,1,95.0,0,0,66.75,3.458374998517839,0.04572564612326044,17024000.0,7.286477,0.381060487685475,18.263396044879872,85446075.0
7,0,0,0,12000000.0,1.0,1,0,1,0,0,0,400.0,0,0,100.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,84.0,1,2,1,7,2,57.142857142857146,4.0,0,0,1946.75,337,1.0,0,0,379.0,0,0,606.0,0,0,1601.0,0,0,81.0,0,0,363.0,0,0,681.0,2.9880359042394256,0.041916167664670656,0.0,1.949044,0.09042006528497762,14.765820807889137,2586511.0
8,0,1,0,72829124.33333333,14.6,5,0,1,1,1,3,20.666666666666668,1,1,3.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,100.0,1,1,1,4,2,6.25,12.0,0,0,778.4166666666666,337,8.0,0,0,379.0,0,0,606.0,0,0,800.5,1,1,4.0,0,0,363.0,0,0,521.0,18.280329279132747,0.050100200400801605,0.0,6.902423,0.4166452351456851,17.351454194007484,34327391.0
9,0,0,6000000,6000000.0,11.0,2,0,1,0,0,1,477.0,1,1,3.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,91.0,1,1,1,2,0,200.0,19.0,0,0,944.8947368421053,337,11.0,0,0,379.0,0,0,606.0,0,0,800.5,0,0,81.0,0,0,363.0,0,0,401.0,1.4955101047879005,0.0454318522216675,8268000.0,4.672036,0.22963683860547365,16.74671748362726,18750246.0
