log_feature,original_pred,imdb_id
16.797888,19734676.0,tt2637294
18.657541,126726440.0,tt0368933
16.369883,12863218.0,tt2582802
17.175425,28786716.0,tt1821480
14.576353,2140077.5,tt1380152
14.092293,1318878.1,tt0093743
18.02252,67155410.0,tt0431021
14.418304,1827215.8,tt0391024
19.1,197253520.0,tt0117110
17.301743,32662640.0,tt0310281
17.916574,60404520.0,tt0075148
16.72054,18265764.0,tt0093857
20.113514,543485700.0,tt0169547
18.423674,100299736.0,tt0377471
18.613466,121262270.0,tt0181689
12.2423115,207379.69,tt1129437
18.658077,126794376.0,tt0421239
17.301916,32668312.0,tt1700845
14.164009,1416937.5,tt1487118
19.325264,247090190.0,tt0388482
19.162891,210057400.0,tt0120738
18.296154,88291464.0,tt0083972
11.387274,88191.195,tt2105044
15.511637,5452782.5,tt1687277
16.282278,11784292.0,tt0779982
16.737896,18585568.0,tt0104139
15.576154,5816176.0,tt0120176
16.25316,11446109.0,tt1486834
14.929413,3046221.5,tt0092106
17.826836,55219990.0,tt0264472
20.013657,491836350.0,tt1675434
13.448608,692876.44,tt0387898
17.841967,56061880.0,tt1618442
11.251231,76973.63,tt2926810
18.80842,147364580.0,tt0293564
17.16671,28536936.0,tt1656190
12.006496,163814.56,tt0199314
16.79906,19757836.0,tt0114069
12.29166,217870.4,tt2710368
10.788144,48442.047,tt0059418
10.970486,58131.82,tt0380268
17.53178,41110750.0,tt0061512
16.536463,15194783.0,tt0156841
13.576963,787770.56,tt2933544
18.320955,90508584.0,tt0372532
16.926758,22449024.0,tt1379222
19.788187,392554900.0,tt0438097
19.625557,333634600.0,tt3460252
13.85954,1045012.1,tt1781058
19.23798,226437580.0,tt0111280
12.5033865,269246.56,tt0948530
18.356102,93746230.0,tt0059243
16.420181,13526769.0,tt0081031
16.378147,12969967.0,tt0095169
19.05304,188204480.0,tt3231054
16.671059,17383960.0,tt0108186
14.08332,1307096.6,tt1082009
19.580671,318990300.0,tt0118688
11.696052,120095.586,tt0476991
17.122328,27298104.0,tt0278295
20.596119,880604300.0,tt0381061
14.055721,1271516.1,tt0049875
16.672274,17405096.0,tt0119099
16.336159,12436654.0,tt0097388
17.66786,47103600.0,tt1821549
15.123103,3697261.2,tt0092675
12.374448,236675.1,tt1220888
12.484311,264159.22,tt2852400
15.37764,4768963.5,tt0056592
18.534134,112013944.0,tt0463985
16.599344,16180934.0,tt0366627
16.195408,10803792.0,tt0318462
16.899393,21843044.0,tt0099329
14.293322,1612539.8,tt0402906
14.745565,2534647.2,tt0074706
16.55659,15503697.0,tt1438176
12.534571,277775.1,tt0242572
18.078306,71008216.0,tt0080487
18.643229,124925550.0,tt0083064
17.646751,46119732.0,tt3835080
17.42047,36780164.0,tt0279331
16.092997,9752132.0,tt0338427
18.079662,71104584.0,tt0397101
17.99488,65324692.0,tt0086837
16.867643,21160428.0,tt1767382
17.863455,57279584.0,tt0112715
19.218811,222138370.0,tt0079417
16.00534,8933693.0,tt0113326
16.475458,14295539.0,tt1730768
18.777502,142878050.0,tt0108185
18.504347,108726580.0,tt0266697
13.903922,1092436.6,tt0274497
16.91171,22113764.0,tt0113362
14.662292,2332126.5,tt0986233
17.437384,37407572.0,tt0166924
13.352757,629547.06,tt2569398
16.512896,14840871.0,tt1683921
10.343628,31057.504,tt1772980
16.50145,14671971.0,tt1764625
18.685158,130274950.0,tt0094894
17.149237,28042636.0,tt0099817
15.985281,8756273.0,tt0268978
16.971058,23465876.0,tt1193460
15.299027,4408421.5,tt1870529
19.637312,337579620.0,tt3477064
16.798784,19752372.0,tt2404181
16.305408,12060044.0,tt1244659
18.398592,97815340.0,tt0112573
17.352438,34361180.0,tt0122541
16.831268,20404544.0,tt0060491
18.1209,74098010.0,tt0219965
17.072937,25982584.0,tt0361841
19.610176,328542270.0,tt1390411
15.955826,8502116.0,tt0094746
21.123974,1492881300.0,tt0120737
17.99908,65599630.0,tt0279493
16.89587,21766228.0,tt2113822
17.3044,32749540.0,tt0486946
14.378659,1756192.5,tt0106471
17.746258,50945030.0,tt0117786
20.412823,733122050.0,tt0266915
20.118204,546040700.0,tt0120855
16.061935,9453875.0,tt0100053
18.184656,78976130.0,tt0165929
16.93873,22719412.0,tt1022603
16.40497,13322569.0,tt0889588
16.310162,12117503.0,tt0077372
17.246061,30893652.0,tt0219699
17.413414,36521584.0,tt0432291
16.160816,10436461.0,tt0116404
16.198997,10842644.0,tt0469021
18.026087,67395370.0,tt1582271
19.464493,284002270.0,tt0264578
